category,orders,items_sold,revenue
health_beauty,8647,9465,1412089.53
watches_gifts,5495,5859,1264333.12
bed_bath_table,9272,10953,1225209.26
sports_leisure,7530,8431,1118256.91
computers_accessories,6530,7644,1032723.77
furniture_decor,6307,8160,880329.92
housewares,5743,6795,758392.25
cool_stuff,3559,3718,691680.89
auto,3810,4140,669454.75
garden_tools,3448,4268,567145.68
toys,3804,4030,547061.06
baby,2809,2982,466727.65
perfumery,3086,3340,443171.63
telephony,4093,4430,379202.62
office_furniture,1254,1668,335211.36
stationery,2264,2466,269575.05
pet_shop,1688,1924,250614.2
computers,177,199,228349.76
musical_instruments,611,651,202187.12
electronics,2517,2729,200723.09
small_appliances,609,658,198108.47
Unknown / Uncategorized,1392,1537,197695.69
fashion_bags_accessories,1820,1985,179888.29
luggage_accessories,1019,1077,168778.12
consoles_games,1018,1089,167097.73
construction_tools_construction,736,916,162382.01
home_appliances_2,227,231,118208.52
home_construction,483,596,95022.37
home_appliances,747,754,93301.78
furniture_living_room,414,495,85045.07
agro_industry_and_commerce,177,206,76203.3
home_confort,392,429,66438.22
air_conditioning,246,289,59854.55
fixed_telephony,212,255,59816.54
kitchen_dining_laundry_garden_furniture,241,274,57072.97
audio,348,362,56255.32
books_general_interest,496,537,54182.54
small_appliances_home_oven_and_coffee,72,73,49245.9
construction_tools_lights,242,301,47447.14
industry_commerce_and_business,232,265,46079.34
construction_tools_safety,159,183,42504.02
food,441,499,35794.68
market_place,274,305,33114.38
costruction_tools_garden,190,232,30283.94
fashion_shoes,235,257,27814.83
signaling_and_security,138,197,27792.59
art,195,197,27485.53
drinks,287,361,26971.11
furniture_bedroom,90,103,23379.22
books_technical,256,263,22901.07
food_drink,221,269,19337.77
costruction_tools_tools,97,103,17934.17
fashion_male_clothing,106,125,12514.95
christmas_supplies,125,150,11928.75
fashion_underwear_beach,117,127,11160.02
tablets_printing_image,79,83,8754.61
cine_photo,63,70,7902.18
music,38,38,6724.86
furniture_mattress_and_upholstery,37,37,5904.75
dvds_blu_ray,56,61,5769.84
party_supplies,38,42,5285.38
books_imported,50,57,5150.94
Portable Kitchen & Food Preparers,13,14,4228.05
fashio_female_clothing,36,45,3218.44
fashion_sport,26,29,2657.55
la_cuisine,13,14,2388.54
arts_and_craftmanship,23,24,2184.14
diapers_and_hygiene,25,37,2046.19
flowers,29,33,1598.91
PC Gamer,7,8,1430.1
home_comfort_2,24,30,1170.58
cds_dvds_musicals,12,14,954.99
fashion_childrens_clothes,7,7,598.67
security_and_services,2,2,324.51
